線区コード(16進)	駅順コード(16進)	会社名	線区名	駅名	備考
0	1	試験	試験	端末試験用 V2	
0	2	試験	試験	端末試験用 V2-01	
0	3	試験	試験	端末試験用 V2-02	
0	4	試験	試験	端末試験用 V3-01-1	
0	5	試験	試験	端末試験用 V3-01-2	
0	6	試験	試験	端末試験用 V4-01	
0	7	試験	試験	端末試験用 V4-01-A	
0	ff	JR	Åì?¤Æ?	Åì?þ	
1	1	東日本旅客鉄道	東海道本	東京	
1	2	東日本旅客鉄道	東海道本	有楽町	
1	3	東日本旅客鉄道	東海道本	新橋	
1	4	東日本旅客鉄道	東海道本	浜松町	
1	6	東日本旅客鉄道	東海道本	田町	
1	7	東日本旅客鉄道	東海道本	品川	
1	8	東日本旅客鉄道	東海道本	大井町	
1	9	東日本旅客鉄道	東海道本	大森	
1	b	東日本旅客鉄道	東海道本	蒲田	
1	d	東日本旅客鉄道	東海道本	川崎	
1	e	東日本旅客鉄道	東海道本	鶴見	
1	10	東日本旅客鉄道	東海道本	新子安	
1	11	東日本旅客鉄道	東海道本	東神奈川	
1	12	東日本旅客鉄道	東海道本	横浜	
1	14	東日本旅客鉄道	東海道本	保土ヶ谷	
1	15	東日本旅客鉄道	東海道本	東戸塚	
1	16	東日本旅客鉄道	東海道本	戸塚	
1	18	東日本旅客鉄道	東海道本	大船	
1	19	東日本旅客鉄道	東海道本	藤沢	
1	1a	東日本旅客鉄道	東海道本	辻堂	
1	1b	東日本旅客鉄道	東海道本	茅ヶ崎	
1	1d	東日本旅客鉄道	東海道本	平塚	
1	1e	東日本旅客鉄道	東海道本	大磯	
1	20	東日本旅客鉄道	東海道本	二宮	
1	21	東日本旅客鉄道	東海道本	国府津	
1	22	東日本旅客鉄道	東海道本	鴨宮	
1	23	東日本旅客鉄道	東海道本	小田原	
1	25	東日本旅客鉄道	東海道本	早川	
1	26	東日本旅客鉄道	東海道本	根府川	
1	28	東日本旅客鉄道	東海道本	真鶴	
1	29	東日本旅客鉄道	東海道本	湯河原	
1	2b	東日本旅客鉄道	東海道本	熱海	
1	33	東海旅客鉄道	東海道本	函南	
1	35	東海旅客鉄道	東海道本	三島	
1	37	東海旅客鉄道	東海道本	沼津	
1	38	東海旅客鉄道	東海道本	片浜	
1	39	東海旅客鉄道	東海道本	原	
1	3b	東海旅客鉄道	東海道本	東田子の浦	
1	3c	東海旅客鉄道	東海道本	吉原	
1	3e	東海旅客鉄道	東海道本	富士	
1	40	東海旅客鉄道	東海道本	富士川	
1	41	東海旅客鉄道	東海道本	新蒲原	
1	42	東海旅客鉄道	東海道本	蒲原	
